"","SpCode","SpID","Elev","SpSize","StiL","BlL","FrL","StiLtoBlL","LWbase","LW2nd","LW3rd","BasalPiL","BasiscPiL","AcroPiL","NeBasiPiL","BasiPiLtoPL","AcroPitoBasi","PP1toPP2","PP2toPP3","PP3toPP4","PP1to2toAll","NoFreeP","ProFreeP","WtoBl1","WtoBl2","WtoBl3","NBasitoBasi","BasPLtoLWbase","StiScL","StiScW","StiScWtoL1"
"1",1,1,2300,43,5.6,9.6,15.2,0.58,5.3,5.1,3.5,3,1.3,0.5,1.2,0.43,0.38,1.4,1.1,1,0.4,4,0.36,0.55,0.53,0.36,0.92,0.57,4.25,0.75,0.18
"2",1,2,2400,43,16.3,27.1,43.4,0.6,10.1,7.6,7.8,6.8,3.45,1.2,1.7,0.53,0,3.9,3.3,2.5,0.4,6,0.35,0.37,0.28,0.29,0.74,0.67,1.25,1,0.8
"3",1,3,2300,48,3.2,5.09,8.3,0.63,3.8,2.9,2.7,2.1,0.9,0.3,0.5,0.43,0.33,0.9,0.7,0.5,0.43,2,0.1,0.75,0.57,0.53,0.56,0.55,4.25,1,0.24
"4",1,4,2300,45,15.8,12.3,28.1,1.28,9,9,7.5,6,2.8,0.7,2.3,0.47,0.25,2.1,1.6,1.3,0.42,5,0.19,0.73,0.73,0.61,0.82,0.67,4.25,1.25,0.29
"5",1,5,2300,48,11.5,8.5,20,1.35,7.1,6.8,4.4,3.9,1.7,0.8,1.5,0.44,0.47,1.8,1,0.85,0.49,2,0.18,0.84,0.8,0.52,0.88,0.55,5,1,0.2
"6",1,6,2300,47,14.1,11,25.1,1.28,6.7,6.9,5,4.3,1.8,0.85,1.7,0.42,0.47,2.1,0.85,0.9,0.55,2,0.2,0.61,0.63,0.45,0.94,0.64,4.5,0.75,0.17
"7",1,7,2300,48,3.7,4.8,8.5,0.77,4.8,3.25,2.6,2.5,1.1,0.55,0.7,0.44,0.5,0.85,0.7,0.5,0.41,1,0.14,1,0.68,0.54,0.64,0.52,3.25,1,0.31
"8",1,8,2300,48,4,6.9,10.9,0.58,5.2,4.5,3.7,2.9,1.1,0.55,0.9,0.38,0.5,1.6,1,0.8,0.47,1,0.25,0.75,0.65,0.54,0.82,0.56,3.25,0.75,0.23
"9",1,9,2300,48,8,6.3,14.3,1.27,5,4.9,2.5,2.3,1.1,0.55,0.9,0.48,0.5,1.3,0.75,0.65,0.48,1,0.2,0.79,0.78,0.4,0.82,0.46,4.25,1,0.24
"10",1,10,1100,51.25,13.2,12.7,25.9,1.04,6.7,6.5,4.6,4.8,2.3,1.2,1.4,0.48,0.52,2.8,1.8,1.4,0.47,2,0.31,0.53,0.51,0.36,0.61,0.72,2.75,1.25,0.45
